CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Profession_Status
145,Male,25,71000,12,Engineer,0,5,Valid
146,Male,28,26000,97,Unknown,8,5,Invalid
147,Male,48,52000,36,Engineer,9,2,Valid
148,Female,32,38000,74,Lawyer,1,1,Valid
149,Female,34,51000,22,Healthcare,7,4,Valid
150,Male,34,90000,90,Artist,6,3,Valid
151,Male,43,30000,17,Lawyer,0,9,Valid
152,Male,39,41000,88,Engineer,0,1,Valid
153,Female,44,17000,20,Engineer,0,2,Valid
154,Female,38,92000,76,Artist,2,2,Valid
155,Female,47,80000,16,Healthcare,0,4,Valid
156,Female,27,10000,89,Unknown,8,4,Invalid
157,Male,37,16000,1,Executive,1,1,Valid
158,Female,30,87000,78,Artist,3,4,Valid
159,Male,34,66000,1,Lawyer,1,2,Valid
160,Female,30,86000,73,Artist,3,3,Valid
161,Female,56,9000,35,Artist,1,1,Valid
162,Female,29,50000,83,Healthcare,1,5,Valid
163,Male,19,35000,5,Executive,0,5,Valid
164,Female,31,58000,93,Healthcare,1,5,Valid
165,Male,50,47000,26,Doctor,0,2,Valid
166,Female,36,54000,75,Artist,5,3,Valid
167,Male,42,79000,20,Homemaker,9,3,Valid
168,Female,33,83000,95,Artist,0,5,Valid
169,Female,36,57000,27,Artist,0,3,Valid
170,Male,32,0,63,Artist,2,2,Valid
171,Male,40,69000,13,Artist,3,5,Valid
172,Male,28,4000,75,Executive,0,2,Valid
173,Male,36,79000,10,Lawyer,0,2,Valid
174,Male,36,99000,92,Artist,5,2,Valid
175,Female,52,20000,13,Lawyer,0,2,Valid
176,Female,30,28000,86,Artist,3,4,Valid
177,Male,58,29000,15,Engineer,11,1,Valid
178,Male,27,45000,69,Healthcare,2,6,Valid
179,Male,59,86000,14,Healthcare,4,3,Valid
180,Male,35,42000,90,Engineer,8,1,Valid
181,Female,37,59000,32,Artist,7,2,Valid
182,Female,32,61000,86,Entertainment,7,5,Valid
183,Male,46,11000,15,Artist,7,1,Valid
184,Female,29,66000,88,Artist,4,4,Valid
185,Female,41,39000,39,Artist,1,1,Valid
186,Male,30,72000,97,Artist,6,2,Valid
187,Female,54,14000,24,Lawyer,1,2,Valid
188,Male,28,44000,68,Doctor,5,3,Valid
189,Female,41,76000,17,Engineer,8,2,Valid
190,Female,36,95000,85,Artist,4,2,Valid
191,Female,34,92000,23,Artist,5,3,Valid
192,Female,32,98000,69,Artist,8,2,Valid
193,Male,33,96000,8,Executive,9,2,Valid
194,Female,38,45000,91,Artist,10,4,Valid
195,Female,47,8000,16,Artist,7,2,Valid
196,Female,35,46000,79,Executive,1,3,Valid
197,Female,45,78000,28,Artist,0,2,Valid
198,Male,32,4000,74,Artist,1,5,Valid
199,Male,32,81000,18,Executive,1,2,Valid
200,Male,30,33000,83,Artist,4,2,Valid
201,Female,21,40000,10,Healthcare,0,3,Valid
202,Male,34,85000,16,Healthcare,9,3,Valid
203,Female,16,60000,0,Engineer,6,8,Valid
204,Female,76,60000,39,Healthcare,4,2,Valid
205,Female,62,63000,59,Entertainment,0,2,Valid
206,Female,63,10000,52,Healthcare,8,3,Valid
207,Female,19,55000,61,Healthcare,0,3,Valid
208,Male,46,93000,12,Artist,2,1,Valid
209,Female,48,15000,7,Doctor,0,2,Valid
210,Female,80,39000,33,Engineer,9,4,Valid
211,Female,1,57000,93,Engineer,1,2,Valid
212,Female,0,22000,92,Artist,2,1,Valid
213,Male,86,12000,70,Unknown,2,4,Invalid
214,Male,49,50000,82,Lawyer,8,1,Valid
215,Male,48,95000,68,Doctor,2,4,Valid
216,Female,46,66000,70,Healthcare,3,3,Valid
217,Male,79,20000,40,Doctor,6,2,Valid
218,Female,83,35000,99,Doctor,8,2,Valid
219,Female,66,71000,34,Executive,9,2,Valid
220,Female,59,76000,61,Unknown,9,1,Invalid
221,Female,39,84000,33,Artist,5,3,Valid
222,Female,95,72000,51,Engineer,4,2,Valid
223,Male,43,33000,55,Artist,4,3,Valid
224,Female,93,93000,37,Healthcare,1,5,Valid
225,Female,40,83000,48,Homemaker,4,1,Valid
226,Female,78,23000,8,Engineer,1,1,Valid
227,Female,25,40000,77,Artist,5,4,Valid
228,Male,76,89000,86,Healthcare,9,4,Valid
229,Male,0,33000,64,Unknown,1,1,Invalid
230,Male,15,94000,30,Healthcare,7,2,Valid
231,Female,6,93000,53,Lawyer,8,2,Valid
232,Male,84,7000,28,Healthcare,0,4,Valid
233,Female,67,18000,88,Lawyer,0,2,Valid
234,Female,78,3000,14,Healthcare,0,4,Valid
235,Female,4,84000,54,Artist,9,1,Valid
236,Female,29,62000,34,Healthcare,0,4,Valid
237,Male,91,9000,96,Healthcare,1,5,Valid
238,Male,95,36000,35,Unknown,0,4,Invalid
239,Male,55,37000,74,Lawyer,1,4,Valid
240,Female,14,50000,11,Artist,1,2,Valid
241,Male,92,83000,16,Executive,1,5,Valid
242,Female,65,79000,17,Artist,0,3,Valid
243,Female,84,40000,14,Healthcare,1,4,Valid
244,Female,77,47000,58,Artist,0,6,Valid
245,Female,53,4000,20,Artist,0,4,Valid
246,Female,28,38000,75,Entertainment,7,2,Valid
247,Male,23,0,96,Doctor,1,3,Valid
248,Female,32,7000,16,Artist,1,2,Valid
249,Female,37,41000,2,Artist,1,2,Valid
250,Female,89,65000,0,Engineer,0,5,Valid
251,Male,80,20000,93,Engineer,1,3,Valid
252,Female,27,44000,65,Doctor,8,1,Valid
253,Female,78,3000,14,Artist,5,4,Valid
254,Female,86,72000,13,Lawyer,7,3,Valid
255,Female,46,27000,32,Engineer,4,4,Valid
256,Male,59,85000,49,Lawyer,4,2,Valid
257,Male,12,38000,18,Executive,10,1,Valid
258,Male,79,73000,96,Homemaker,6,7,Valid
259,Female,79,64000,64,Artist,2,3,Valid
260,Male,26,26000,60,Executive,6,4,Valid
261,Female,63,47000,16,Artist,2,3,Valid
262,Female,52,35000,85,Doctor,2,6,Valid
263,Female,32,31000,24,Lawyer,2,3,Valid
264,Female,64,13000,38,Engineer,3,4,Valid
265,Female,37,79000,10,Homemaker,1,7,Valid
266,Male,7,82000,39,Entertainment,2,2,Valid
267,Female,40,28000,68,Artist,1,1,Valid
268,Female,78,36000,79,Artist,0,3,Valid
269,Female,34,8000,76,Entertainment,6,6,Valid
270,Female,52,88000,39,Artist,1,2,Valid
271,Male,94,91000,36,Entertainment,0,4,Valid
272,Female,1,12000,82,Doctor,0,3,Valid
273,Female,96,1000,76,Entertainment,0,3,Valid
274,Female,18,143000,99,Artist,0,2,Valid
275,Female,37,18000,57,Artist,1,2,Valid
276,Male,78,65000,89,Lawyer,1,2,Valid
277,Male,16,9000,88,Executive,7,4,Valid
278,Male,93,95000,21,Artist,1,1,Valid
279,Female,74,78000,12,Engineer,9,3,Valid
280,Male,68,48000,73,Healthcare,3,3,Valid
281,Female,32,63000,87,Executive,1,4,Valid
282,Female,43,85000,63,Unknown,1,2,Invalid
283,Female,52,43000,58,Artist,1,3,Valid
284,Female,63,74000,20,Artist,1,2,Valid
285,Female,33,67000,11,Healthcare,0,1,Valid
286,Male,86,59000,40,Artist,0,1,Valid
287,Female,85,140000,84,Entertainment,1,1,Valid
288,Female,73,31000,47,Healthcare,1,2,Valid
289,Female,21,5000,91,Unknown,0,1,Invalid
290,Female,93,19000,58,Engineer,1,3,Valid
291,Male,9,27000,62,Entertainment,7,1,Valid
292,Female,10,68000,80,Doctor,6,3,Valid
293,Male,11,38000,66,Artist,8,8,Valid
294,Female,48,50000,36,Engineer,6,4,Valid
295,Female,73,80000,73,Entertainment,2,2,Valid
296,Female,66,69000,43,Executive,9,3,Valid
297,Female,79,31000,91,Engineer,3,3,Valid
298,Male,62,87000,41,Doctor,6,2,Valid
299,Male,17,79000,16,Artist,1,3,Valid
300,Male,32,32000,86,Entertainment,5,2,Valid
301,Male,85,153787,100,Entertainment,3,3,Valid
302,Male,31,95851,16,Healthcare,5,2,Valid
303,Female,31,145015,73,Healthcare,6,3,Valid
304,Female,38,148539,7,Healthcare,5,2,Valid
305,Female,90,117319,21,Lawyer,1,2,Valid
306,Female,65,180243,26,Unknown,6,2,Invalid
307,Female,63,165052,12,Artist,4,2,Valid
308,Female,61,120487,14,Doctor,0,2,Valid
309,Male,26,112766,83,Engineer,8,4,Valid
310,Female,17,156488,65,Engineer,1,4,Valid
311,Male,56,97562,15,Executive,5,6,Valid
312,Female,12,77501,30,Engineer,5,4,Valid
313,Female,24,118302,100,Lawyer,5,1,Valid
314,Female,13,64277,9,Executive,9,4,Valid
315,Male,12,53927,77,Doctor,2,3,Valid
316,Male,72,93921,93,Lawyer,9,2,Valid
317,Female,54,132046,8,Homemaker,4,4,Valid
318,Male,45,183217,91,Artist,7,2,Valid
319,Male,66,182937,44,Unknown,8,1,Invalid
320,Female,27,68272,56,Healthcare,8,4,Valid
321,Male,36,69841,21,Engineer,10,2,Valid
322,Male,5,69078,60,Lawyer,13,1,Valid
323,Female,89,110667,100,Healthcare,2,4,Valid
324,Male,13,95469,94,Doctor,6,1,Valid
325,Female,91,102861,40,Artist,4,1,Valid
326,Male,16,133551,7,Artist,3,1,Valid
327,Female,63,64589,90,Engineer,7,1,Valid
328,Male,52,152755,39,Engineer,4,2,Valid
329,Female,37,92313,58,Healthcare,1,5,Valid
330,Female,78,98922,2,Artist,2,3,Valid
331,Male,24,165846,33,Engineer,0,4,Valid
332,Female,4,93713,62,Engineer,3,4,Valid
333,Male,84,137641,67,Healthcare,0,5,Valid
334,Male,0,173743,96,Artist,0,4,Valid
335,Female,67,116126,58,Entertainment,10,2,Valid
336,Female,32,112246,30,Healthcare,8,3,Valid
337,Female,39,69384,75,Healthcare,1,5,Valid
338,Female,68,76529,62,Healthcare,0,2,Valid
339,Female,7,123804,28,Doctor,14,1,Valid
340,Female,76,68292,55,Artist,8,2,Valid
341,Female,84,173185,99,Artist,3,1,Valid
342,Male,75,142034,82,Entertainment,1,4,Valid
343,Male,22,107941,61,Artist,0,1,Valid
344,Female,90,149840,61,Engineer,1,1,Valid
345,Female,4,148431,99,Healthcare,1,8,Valid
346,Female,78,126599,84,Lawyer,0,3,Valid
347,Female,58,57180,22,Healthcare,9,1,Valid
348,Female,99,184426,41,Artist,9,1,Valid
349,Female,24,151085,39,Unknown,2,5,Invalid
350,Female,88,166107,98,Artist,13,4,Valid
351,Female,92,67850,91,Artist,9,4,Valid
352,Male,99,173394,4,Engineer,13,1,Valid
353,Female,51,72303,98,Lawyer,7,1,Valid
354,Male,23,181760,35,Healthcare,14,3,Valid
355,Female,13,146858,75,Doctor,9,1,Valid
356,Male,22,172923,20,Engineer,6,1,Valid
357,Female,89,115811,87,Homemaker,11,4,Valid
358,Male,20,184324,51,Unknown,13,5,Invalid
359,Female,72,67353,19,Lawyer,9,3,Valid
360,Male,17,165999,71,Healthcare,9,3,Valid
361,Male,90,164914,18,Artist,8,3,Valid
362,Male,99,63364,61,Entertainment,1,2,Valid
363,Female,39,182352,73,Engineer,4,3,Valid
364,Female,37,148544,56,Entertainment,1,2,Valid
365,Male,46,62833,85,Artist,1,2,Valid
366,Male,65,120627,72,Healthcare,0,2,Valid
367,Female,60,130898,30,Artist,1,1,Valid
368,Female,93,103130,74,Executive,12,3,Valid
369,Male,72,106681,15,Healthcare,9,5,Valid
370,Female,36,87353,25,Entertainment,1,5,Valid
371,Male,52,88046,61,Artist,8,1,Valid
372,Female,72,98168,49,Entertainment,1,2,Valid
373,Female,28,178265,5,Lawyer,2,1,Valid
374,Female,48,167232,92,Doctor,6,4,Valid
375,Male,85,140478,43,Doctor,6,4,Valid
376,Male,22,159296,83,Artist,8,1,Valid
377,Female,30,144043,78,Doctor,1,1,Valid
378,Male,46,72594,64,Artist,1,2,Valid
379,Female,82,180288,77,Artist,2,2,Valid
380,Female,73,165734,51,Entertainment,0,1,Valid
381,Male,8,175407,2,Artist,5,1,Valid
382,Male,90,70201,8,Engineer,0,2,Valid
383,Male,34,91503,26,Artist,0,6,Valid
384,Female,10,184522,43,Artist,0,2,Valid
385,Female,79,143560,83,Artist,1,3,Valid
386,Male,83,131574,97,Artist,1,2,Valid
387,Female,20,151124,18,Artist,15,3,Valid
388,Female,25,67447,5,Artist,15,2,Valid
389,Female,26,117454,8,Healthcare,16,2,Valid
390,Female,18,86203,23,Doctor,13,1,Valid
391,Female,7,136231,10,Artist,7,1,Valid
392,Male,1,89144,1,Doctor,12,2,Valid
393,Male,21,119116,30,Artist,17,4,Valid
394,Female,86,163463,31,Artist,9,4,Valid
395,Female,75,151696,82,Artist,15,1,Valid
396,Male,78,184736,52,Lawyer,13,1,Valid
397,Female,87,70419,69,Homemaker,6,4,Valid
398,Female,8,119104,41,Entertainment,14,3,Valid
399,Male,59,130950,28,Executive,5,3,Valid
400,Male,13,140950,77,Artist,15,2,Valid
401,Female,55,82285,35,Engineer,16,1,Valid
402,Female,50,91389,92,Healthcare,11,7,Valid
403,Male,54,186359,95,Doctor,13,2,Valid
404,Male,13,178989,46,Doctor,14,3,Valid
405,Male,79,166335,45,Engineer,5,5,Valid
406,Female,65,119889,11,Artist,17,6,Valid
407,Female,51,66852,73,Executive,15,3,Valid
408,Male,18,103896,36,Executive,16,4,Valid
409,Male,21,187761,87,Healthcare,2,3,Valid
410,Male,37,102717,93,Healthcare,7,4,Valid
411,Male,83,102647,83,Entertainment,0,2,Valid
412,Female,96,113585,31,Lawyer,0,4,Valid
413,Female,65,86509,88,Artist,0,4,Valid
414,Male,80,59099,44,Unknown,1,7,Invalid
415,Female,75,135088,5,Lawyer,1,5,Valid
416,Female,87,110870,78,Engineer,1,4,Valid
417,Female,86,187667,12,Artist,0,1,Valid
418,Female,36,124614,25,Artist,8,5,Valid
419,Female,78,166492,40,Homemaker,9,7,Valid
420,Female,62,172758,69,Entertainment,1,2,Valid
421,Male,89,122430,19,Healthcare,1,1,Valid
422,Female,56,183540,96,Entertainment,0,6,Valid
423,Female,35,96484,34,Artist,5,4,Valid
424,Male,33,112587,71,Artist,1,4,Valid
425,Female,58,155672,71,Entertainment,7,7,Valid
426,Female,68,72847,93,Artist,1,2,Valid
427,Male,38,71897,32,Entertainment,2,3,Valid
428,Male,31,158479,57,Doctor,1,5,Valid
429,Male,90,89251,4,Entertainment,1,1,Valid
430,Male,28,179911,24,Engineer,1,1,Valid
431,Male,1,111558,85,Healthcare,7,4,Valid
432,Male,78,127615,78,Executive,10,7,Valid
433,Female,23,50076,32,Artist,3,5,Valid
434,Female,25,77779,62,Artist,4,1,Valid
435,Male,59,169999,38,Engineer,5,5,Valid
436,Female,7,106581,76,Doctor,1,7,Valid
437,Female,24,78223,41,Lawyer,0,1,Valid
438,Male,76,136259,14,Unknown,0,7,Invalid
439,Male,37,153399,93,Entertainment,1,6,Valid
440,Female,6,162858,91,Artist,0,1,Valid
441,Female,0,57373,29,Unknown,0,7,Invalid
442,Male,3,133602,47,Artist,1,1,Valid
443,Female,95,66322,88,Artist,0,3,Valid
444,Female,0,68761,16,Lawyer,1,4,Valid
445,Male,7,70749,86,Artist,13,3,Valid
446,Male,54,65874,87,Artist,7,6,Valid
447,Male,89,115996,24,Engineer,15,1,Valid
448,Female,58,67097,91,Engineer,6,1,Valid
449,Female,12,108027,64,Artist,13,5,Valid
450,Male,7,176349,80,Healthcare,8,2,Valid
451,Male,11,88452,40,Healthcare,8,6,Valid
452,Male,74,128266,55,Engineer,7,4,Valid
453,Female,64,156777,20,Healthcare,7,2,Valid
454,Female,48,123234,50,Lawyer,10,7,Valid
455,Female,8,60790,38,Artist,1,5,Valid
456,Female,15,181332,99,Artist,14,6,Valid
457,Male,1,187297,7,Artist,0,1,Valid
458,Female,21,153885,86,Artist,6,6,Valid
459,Male,84,53500,44,Unknown,3,4,Invalid
460,Female,5,69443,28,Doctor,4,6,Valid
461,Female,47,124072,56,Lawyer,0,7,Valid
462,Female,96,135800,29,Healthcare,0,7,Valid
463,Male,93,120597,96,Artist,2,4,Valid
464,Female,16,91358,11,Entertainment,1,4,Valid
465,Male,56,53231,41,Unknown,0,5,Invalid
466,Female,76,156330,31,Engineer,1,2,Valid
467,Male,0,186002,80,Doctor,15,2,Valid
468,Female,70,111760,53,Executive,12,5,Valid
469,Female,47,143906,12,Artist,4,3,Valid
470,Male,13,182410,22,Healthcare,11,4,Valid
471,Male,86,98463,46,Homemaker,10,5,Valid
472,Male,91,93762,28,Artist,15,7,Valid
473,Male,97,104582,50,Healthcare,8,2,Valid
474,Male,20,130813,92,Artist,17,5,Valid
475,Female,11,59202,92,Healthcare,5,4,Valid
476,Female,28,79968,45,Lawyer,9,2,Valid
477,Male,32,104824,42,Artist,0,7,Valid
478,Male,82,188719,30,Lawyer,0,6,Valid
479,Male,39,187536,66,Healthcare,3,6,Valid
480,Male,7,134008,85,Entertainment,2,1,Valid
481,Female,13,176397,71,Artist,6,3,Valid
482,Female,34,154888,43,Healthcare,9,6,Valid
483,Male,76,155622,81,Healthcare,0,2,Valid
484,Female,30,62330,60,Healthcare,1,1,Valid
485,Female,69,112838,34,Healthcare,1,7,Valid
486,Male,22,58283,59,Homemaker,2,4,Valid
487,Female,60,77857,81,Artist,1,6,Valid
488,Male,66,125024,25,Artist,0,1,Valid
489,Female,57,136242,34,Artist,9,1,Valid
490,Female,60,81934,81,Healthcare,1,4,Valid
491,Female,59,130511,97,Artist,3,4,Valid
492,Female,54,144502,88,Lawyer,3,1,Valid
493,Male,90,63769,6,Artist,4,2,Valid
494,Female,14,66760,20,Artist,0,4,Valid
495,Female,34,135115,54,Entertainment,1,7,Valid
496,Female,85,179877,17,Healthcare,12,4,Valid
497,Female,83,93351,65,Doctor,1,1,Valid
498,Male,12,84547,96,Homemaker,3,3,Valid
499,Male,95,121725,3,Unknown,12,3,Invalid
500,Male,41,65723,91,Artist,6,7,Valid
501,Female,38,96794,96,Healthcare,6,3,Valid
502,Male,68,72352,61,Healthcare,8,5,Valid
503,Female,4,53097,21,Healthcare,0,7,Valid
504,Female,5,144831,17,Artist,1,3,Valid
505,Female,3,183851,10,Doctor,1,2,Valid
506,Female,20,111896,90,Executive,1,3,Valid
507,Female,3,64824,30,Executive,1,1,Valid
508,Male,36,88565,16,Healthcare,1,5,Valid
509,Female,70,104974,63,Artist,1,1,Valid
510,Female,17,167060,47,Artist,1,5,Valid
511,Female,31,69018,17,Artist,6,1,Valid
512,Female,48,174109,96,Entertainment,0,1,Valid
513,Male,28,62186,29,Unknown,0,1,Invalid
514,Male,97,183783,70,Healthcare,9,3,Valid
515,Male,81,83771,1,Artist,1,2,Valid
516,Female,37,148196,91,Artist,0,2,Valid
517,Male,85,131742,87,Entertainment,1,1,Valid
518,Female,78,59971,94,Homemaker,14,7,Valid
519,Female,13,88960,2,Entertainment,13,3,Valid
520,Female,53,140107,38,Healthcare,1,5,Valid
521,Female,41,161896,49,Entertainment,1,3,Valid
522,Female,9,57272,60,Engineer,1,1,Valid
523,Male,20,119952,2,Healthcare,8,2,Valid
524,Female,98,167197,63,Doctor,1,5,Valid
525,Female,44,186116,2,Healthcare,8,6,Valid
526,Female,66,134677,59,Healthcare,15,5,Valid
527,Female,58,180479,74,Healthcare,0,3,Valid
528,Male,97,112783,21,Artist,9,6,Valid
529,Male,13,150258,17,Doctor,0,3,Valid
530,Male,48,115832,92,Artist,2,2,Valid
531,Female,47,104834,44,Artist,0,7,Valid
532,Male,93,152571,66,Doctor,14,5,Valid
533,Female,11,162287,45,Engineer,3,2,Valid
534,Female,68,171761,59,Doctor,1,6,Valid
535,Female,87,77709,73,Artist,0,1,Valid
536,Female,22,95053,17,Entertainment,1,2,Valid
537,Male,89,74820,33,Doctor,1,2,Valid
538,Male,57,152267,92,Engineer,9,5,Valid
539,Male,91,71925,14,Artist,4,2,Valid
540,Female,84,151340,95,Artist,1,7,Valid
541,Male,56,162921,51,Executive,0,4,Valid
542,Female,26,52234,30,Executive,1,2,Valid
543,Female,56,100271,87,Artist,1,5,Valid
544,Female,6,170266,23,Artist,3,2,Valid
545,Female,33,88763,1,Entertainment,1,1,Valid
546,Female,89,107359,26,Unknown,10,6,Invalid
547,Male,99,164781,83,Engineer,0,2,Valid
548,Female,25,156016,85,Artist,2,1,Valid
549,Female,96,186882,40,Entertainment,1,7,Valid
550,Female,35,99300,88,Homemaker,5,2,Valid
551,Male,16,58127,65,Unknown,0,3,Invalid
552,Female,81,89211,12,Doctor,1,7,Valid
553,Female,7,148607,59,Homemaker,1,7,Valid
554,Female,31,139592,62,Unknown,1,1,Invalid
